Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary,seasonYear
Chucky Hepburn,23,SO,G,6-2,211,"Omaha, NE",Bellevue West (NE),,"12.2 Pts, 2.8 Reb, 2.8 Ast",2023
Steven Crowl,22,JR,F,7-0,217,"Eagan, MN",Eastview HS,,"12.1 Pts, 6.9 Reb, 2.5 Ast",2023
Connor Essegian,3,FR,G,6-4,185,"Fort Wayne, IN",Central Noble (IN),,"11.7 Pts, 3.7 Reb, 0.7 Ast",2023
Tyler Wahl,5,SR,F,6-9,220,"Lakeville, MN",North HS,,"11.3 Pts, 6.3 Reb, 2.5 Ast",2023
Max Klesmit,11,JR,G,6-3,180,"Neenah, WI",Neenah HS,,"8.4 Pts, 2.7 Reb, 1.4 Ast",2023
Jordan Davis,2,JR,G,6-4,202,"La Crosse, WI",La Crosse Central HS,,"5.1 Pts, 3.5 Reb, 0.4 Ast",2023
Carter Gilmore,14,JR,F,6-7,215,"Hartland, WI",Arrowhead HS,,"2.6 Pts, 2.5 Reb, 0.9 Ast",2023
Kamari McGee,4,SO,G,6-0,180,"Racine, WI",Racine St. Catherine's HS,,"1.3 Pts, 0.6 Reb, 0.5 Ast",2023
Isaac Lindsey,10,SO,G,6-4,190,"Mineral Point, WI",Mineral Point HS,,"1.5 Pts, 0.8 Reb, 0.1 Ast",2023
Markus Ilver,35,SO,F,6-8,219,"Tallinn, Estonia",Western Reserve Academy,,"1.6 Pts, 0.9 Reb, 0.2 Ast",2023
Ross Candelino,30,FR,G,6-5,185,"Jacksonville, FL",Ponte Vedra (FL),,"0.8 Pts, 0.6 Reb, 0.0 Ast",2023
Jahcobi Neath,0,SR,G,6-3,200,"Toronto, Canada",Crestwood Prep,,"1.0 Pts, 0.3 Reb, 0.3 Ast",2023
Chris Hodges,21,FR,F,6-9,239,"Schaumburg, IL",Schaumburg HS,,"0.1 Pts, 0.2 Reb, 0.0 Ast",2023
Isaac Gard,15,FR,G,6-2,165,"Oregon, WI",Oregon (WI),,"0.0 Pts, 0.0 Reb, 0.0 Ast",2023
Justin Taphorn,13,JR,G,6-5,198,"Pekin, IL",Pekin HS,,"0.0 Pts, 0.0 Reb, 0.0 Ast",2023
