Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
Johnny Davis,1,SO,G,6-5,196,"La Crosse, WI",La Crosse Central HS,,"19.7 Pts, 8.2 Reb, 2.1 Ast"
Brad Davison,34,SR,G,6-4,202,"Maple Grove, MN",Maple Grove Senior High School,,"14.1 Pts, 4.0 Reb, 2.1 Ast"
Tyler Wahl,5,JR,F,6-9,220,"Lakeville, MN",North HS,,"11.4 Pts, 5.9 Reb, 1.5 Ast"
Steven Crowl,22,SO,F,7-0,217,"Eagan, MN",Eastview HS,,"8.8 Pts, 4.4 Reb, 1.5 Ast"
Chucky Hepburn,23,FR,G,6-2,211,"Omaha, NE",Bellevue West (NE),,"7.9 Pts, 2.1 Reb, 2.3 Ast"
Chris Vogt,33,SR,C,7-1,260,"Mayfield, KY",Graves County High School,,"2.9 Pts, 3.1 Reb, 0.6 Ast"
Lorne Bowman,11,FR,G,6-2,180,"Detroit, MI",St. Mary's HS,,"3.0 Pts, 1.1 Reb, 0.5 Ast"
Ben Carlson,20,SO,F,6-9,218,"Woodbury, MN",East Ridge HS,,"1.6 Pts, 2.0 Reb, 0.1 Ast"
Jahcobi Neath,0,JR,G,6-3,200,"Toronto, Canada",Crestwood Prep,,"1.6 Pts, 1.5 Reb, 0.3 Ast"
Jordan Davis,2,SO,G,6-4,202,"La Crosse, WI",La Crosse Central HS,,"1.3 Pts, 0.9 Reb, 0.1 Ast"
Carter Gilmore,14,SO,F,6-7,215,"Hartland, WI",Arrowhead HS,,"0.9 Pts, 1.0 Reb, 0.4 Ast"
Markus Ilver,35,FR,F,6-8,219,"Tallinn, Estonia",Western Reserve Academy,,"0.6 Pts, 0.5 Reb, 0.0 Ast"
Isaac Lindsey,10,SO,G,6-4,190,"Mineral Point, WI",Mineral Point HS,,"0.5 Pts, 0.0 Reb, 0.0 Ast"
Carter Higginbottom,4,JR,G,6-0,188,"Chicago, IL",St. Ignatius HS,,"0.0 Pts, 0.0 Reb, 0.0 Ast"
Justin Taphorn,13,SO,G,6-5,198,"Pekin, IL",Pekin HS,,"0.0 Pts, 0.0 Reb, 0.0 Ast"
